total_dist_move,total_dwell_time,num_temp_checks,num_purges,num_unretract,num_lines_gcode,total_dist_print,num_fan_off,num_retract,num_bytes_gcode,filename,total_length_extruded,num_redundant_lines,num_lines_comment,num_fan_on,num_temp_changes,naive_print_time,total_temp_increment,num_lines_move,total_temp_decrement
266397.7946,0.043,5,3,357,63606,210233.3236,45,359,1759201,gcode/2016/06/24/3_inch_straws_Etum2mJ_reoriented.gcode,6292.117931,18,255,51,5,4687.903857,220,55576,220
1018825.261,0.3,5,3,837,175160,905238.8483,7,839,4903665,gcode/2016/09/02/Pilot_Arc_Guard_reoriented_UDH4T59.gcode,21171.8291,82,512,174,5,20323.14866,220,155476,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/10/19/NVlogo-Whistle-positive-X2_e801SQa_reoriented_Tr0iOQ9.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/10/06/NVlogo-Whistle-positive-X2_BmM5J10_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
178354.4398,0.075,5,3,351,36195,134730.55,7,353,1009741,gcode/2016/07/15/PP0055-RevA_Case-Cable-Mount-PRINT_SQPeKpT_reoriented.gcode,7324.239582,10,289,125,5,4166.347722,220,32558,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/07/18/NVlogo-Whistle-positive-X2_Rm3CwHR_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/09/20/NVlogo-Whistle-positive-X2_3csxnZb_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
130723.81,0.055,5,3,212,34105,96829.37461,8,214,973532,gcode/2016/07/29/3D-printable_sand_play_set_Bucket_Handle_By_CT3D.xyz__reoriented.gcode,5116.221332,14,267,62,5,4702.464414,220,32581,220
171074.9983,0.154,5,3,357,18226,106972.8856,7,359,482662,gcode/2016/12/02/PAE1_Z_30-20_nJrrofB_reoriented.gcode,5903.070683,53,368,152,5,2756.293316,220,14768,220
99915.77255,0.183,5,3,630,42262,33408.42122,7,632,1181871,gcode/2016/09/26/FingerCast_reoriented.gcode,2213.655187,31,397,271,5,4027.6511,220,37812,220
1320975.067,0.83,5,3,2140,295666,1025480.739,14,2142,8401857,gcode/2016/08/12/PP0049-RevA_Purge-Collector_reoriented.gcode,22202.953,10,1042,345,5,30621.66349,220,275631,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/11/02/NVlogo-Whistle-positive-X2_reoriented_YFSUyhK.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
4945839.26,0.916,5,3,54096,3428114,3928502.664,3942,54098,98222716,gcode/2016/07/10/full_water_adder_v0_reoriented.gcode,92274.89243,1178,1128,3984,5,209919.2548,220,3201307,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/11/02/NVlogo-Whistle-positive-X2_reoriented_uDAbWqO.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
1189118.374,0.894,5,3,1153,128459,817434.1522,13,1155,3452389,gcode/2016/08/09/portal_bookstandv2-Stand_VLm4xeP_reoriented.gcode,20032.11112,160,1106,68,5,14417.31273,220,106251,220
245910.535,0.27,5,3,1681,69001,146695.9586,11,1683,1938425,gcode/2016/07/29/stem_isaiah_reoriented.gcode,4737.452488,179,484,466,5,4336.191001,220,59903,220
332399.1474,0.125,5,3,3941,409598,237092.1436,8,3943,11768862,gcode/2016/09/23/enrouleur_rond_ecouteurs_v1_reoriented.gcode,6430.885027,49,337,394,5,23654.89622,220,377249,220
624996.2224,0.254,5,3,1675,208324,496607.0136,30,1677,5951352,gcode/2016/08/25/PP0041-RevA_Removal-Carriage-PRINT_reoriented.gcode,23424.62709,122,468,472,5,21448.08482,220,192964,220
